xmlns,creator,version,href,1:text,1:time,lat,lon,1:ele,1:time2,1:name,1:cmt,1:sym,xmlns2,creator2,version2,href2,1:text2,1:time3,1:ErrorNumber,1:Register,R,1:Time,1:Date,1:SoftwareVersion,1:ERR_ABNORMAL
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.180823,35.749846,1133.966675,2020-05-13T05:15:56Z,001,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,0x6e5d8024,0x0069006d,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.181037,35.749741,1140.519287,2020-05-13T05:20:48Z,002,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,0x6e5d8024,0x002f006e,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.181509,35.749658,1139.873169,2020-05-13T05:21:49Z,003,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,0x6e5d8024,0x000000e0,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.181922,35.749634,1140.721924,2020-05-13T05:24:37Z,004,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,0x00000014,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.182408,35.749551,1136.611206,2020-05-13T05:26:07Z,005,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,0x015d7ce8,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.182882,35.749476,1135.820435,2020-05-13T05:28:11Z,006,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,0x02dca208,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.182939,35.748866,1135.952271,2020-05-13T05:32:29Z,007,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,0x00000186,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.183037,35.748115,1137.373901,2020-05-13T05:34:30Z,008,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,0xfee98387,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.183296,35.747523,1135.329956,2020-05-13T05:37:19Z,009,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,00000000,,,,,
http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-13T05:15:56Z,-6.183263,35.746900,1136.374023,2020-05-13T05:39:08Z,010,T1,"Flag, Blue",http://www.topografix.com/GPX/1/1,GPSMAP 64,1.1,http://www.garmin.com,Garmin International,2020-05-07T06:08:04Z,,00000000,,,,,
